100.8941	0
117.1377	4217.09112
117.1801	4532.80928
117.8571	47518.83406
118.3211	77481.96671
118.3211	77481.96671
118.9102	107494.58529
118.9102	107494.58529
118.9102	107494.58529
119.4977	139637.99791
120.0837	176275.61371
120.0837	176275.61371
120.1255	178356.88434
120.6683	220662.21345
121.335	278658.6561
121.335	278658.6561
121.335	278658.6561
122.0002	392052.60317
122.0417	400546.58299
122.4982	489259.39749
123.0371	601046.21533
123.0371	601046.21533
123.7407	760491.35461
123.7407	760491.35461
124.2782	886016.34164
125.1455	1.0918E6
125.1868	1.10368E6
125.7233	1.26554E6
125.7233	1.26554E6
126.5483	1.50611E6
126.5895	1.51746E6
127.0433	1.67153E6
127.0433	1.67153E6
128.1984	2.11663E6
128.7764	2.36271E6
128.7764	2.36271E6
129.4788	2.67794E6
129.4788	2.67794E6
130.182	3.00086E6
130.8033	3.29287E6
131.3425	3.54906E6
131.384	3.56882E6
131.8825	3.79586E6
132.3818	4.02287E6
133.3412	4.44608E6
133.3412	4.44608E6
133.885	4.667E6
133.9269	4.68293E6
134.556	4.9351E6
135.4821	5.28544E6
136.3277	5.56821E6
136.3701	5.58058E6
137.1348	5.86698E6
137.1774	5.87889E6
137.9457	6.12275E6
138.7607	6.36961E6
139.537	6.59751E6
140.1002	6.75517E6
140.1436	6.76646E6
141.015	7.00487E6
141.7162	7.18667E6
142.2006	7.31791E6
142.6869	7.44606E6
143.3531	7.63102E6
143.9901	7.79405E6
144.7088	7.98285E6
145.1393	8.08839E6
145.5333	8.18081E6
146.034	8.28582E6
146.8548	8.45844E6
147.8866	8.63771E6
148.277	8.70587E6
148.7732	8.76304E6
149.304	8.80919E6
150.2569	8.9434E6
150.6795	8.98829E6
151.4176	9.04584E6
151.4527	9.04749E6
152.7487	9.12772E6
154.2826	9.22457E6
154.8731	9.24242E6
154.9078	9.24144E6
155.7741	9.22653E6
156.7759	9.16651E6
157.8775	9.08549E6
158.5297	9.00688E6
159.0094	8.94087E6
159.6933	8.8554E6
160.7843	8.71316E6
161.2944	8.63334E6
161.8715	8.54014E6
162.2782	8.4658E6
163.4612	8.28528E6
164.6061	8.08837E6
165.3781	7.93149E6
165.8471	7.85369E6
166.5826	7.71121E6
166.616	7.70445E6
168.1479	7.3953E6
169.3415	7.14536E6
169.8705	7.03967E6
170.4646	6.91248E6
171.0903	6.76996E6
172.2398	6.54799E6
172.8947	6.44659E6
173.4502	6.34945E6
173.8744	6.29488E6
175.046	6.11611E6
175.9865	6.00206E6
176.5689	5.93041E6
177.1501	5.85579E6
177.7303	5.79476E6
178.1165	5.74745E6
179.4002	5.60987E6
180.5511	5.48357E6
181.1568	5.41853E6
181.7296	5.3554E6
182.2695	5.29678E6
183.6943	5.14608E6
184.3255	5.08101E6
184.861	5.02711E6
185.5841	4.9591E6
186.8376	4.84629E6
188.0862	4.74823E6
188.8331	4.68823E6
189.392	4.65585E6
190.0739	4.60682E6
190.6306	4.57152E6
191.7413	4.49564E6
192.9709	4.41507E6
193.6452	4.36433E6
194.1041	4.33125E6
194.5929	4.29684E6
195.8421	4.21761E6
196.4497	4.18186E6
197.0865	4.14774E6
197.6918	4.11481E6
198.9292	4.06301E6
200.2219	4.02102E6
200.8514	4.00151E6
201.39	3.98668E6
201.8681	3.97294E6
202.4647	3.95669E6
203.6843	3.92171E6
204.8996	3.88153E6
205.284	3.86722E6
205.9335	3.84002E6
206.4935	3.81465E6
207.5519	3.76876E6
208.2264	3.73799E6
208.6071	3.72045E6
209.2211	3.6927E6
210.3585	3.65041E6
211.4631	3.61893E6
211.9561	3.60786E6
212.4485	3.59795E6
213.0846	3.58618E6
213.4599	3.58116E6
214.6123	3.56415E6
215.7036	3.54931E6
216.3912	3.53982E6
216.8488	3.53303E6
217.5056	3.52193E6
218.3035	3.51043E6
218.9292	3.49929E6
219.3836	3.48985E6
219.8941	3.47724E6
221.0543	3.44661E6
222.2108	3.41629E6
222.8299	3.40207E6
223.3918	3.39013E6
223.9248	3.38067E6
224.4291	3.37366E6
225.4635	3.36008E6
226.8291	3.34089E6
227.385	3.33227E6
228.0511	3.31973E6
228.4391	3.31193E6
229.6285	3.27447E6
230.3459	3.24652E6
230.7592	3.2273E6
231.4196	3.19799E6
232.5451	3.14452E6
233.6949	3.09337E6
234.3504	3.06933E6
234.814	3.05032E6
235.3044	3.03751E6
235.7942	3.02296E6
236.989	2.99996E6
238.0993	2.98495E6
238.5048	2.9776E6
239.0448	2.97073E6
239.6918	2.96067E6
240.6338	2.95172E6
241.0905	2.95075E6
241.6541	2.95068E6
242.2972	2.95074E6
243.1533	2.94799E6
244.3011	2.95146E6
244.8073	2.95841E6
245.3661	2.9626E6
245.9242	2.97049E6
246.4286	2.97797E6
247.5151	2.98972E6
248.7574	2.99902E6
249.5224	3.0001E6
250.2071	2.99552E6
250.812	2.99124E6
251.8359	2.96136E6
252.334	2.95245E6
252.9362	2.93507E6
253.5116	2.92226E6
254.6082	2.89569E6
255.6243	2.87185E6
256.3005	2.85604E6
256.7682	2.84427E6
257.2614	2.83296E6
257.8837	2.81815E6
258.8158	2.79213E6
259.9527	2.76615E6
260.5461	2.74482E6
261.01	2.7302E6
261.5508	2.7143E6
262.3481	2.70093E6
262.9388	2.69497E6
263.3238	2.70293E6
263.811	2.70454E6
264.8099	2.72249E6
265.7814	2.74842E6
266.2666	2.76296E6
266.7769	2.77482E6
267.3122	2.79004E6
267.8216	2.79421E6
268.9154	2.81179E6
270.1087	2.81225E6
271.1224	2.79919E6
271.6288	2.79949E6
