_;;;;;;;;;
Axis;Energy;Elements=;191;;;;;;
Axis;Position;Elements=;1;;;;;;
Axis;X;Elements=;1;;;;;;
Axis;Y;Elements=;1;;;;;;
;;;;;;;;;
C:\Mac\Home\Documents\Avantage\GonSi111-anneal in UHV\Data Grid.DATA\C1s Scan.VGD;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Position (Pos)\;Pt #003;;;;;;;
;X (X)\µm;46616.6;;;;;;;
;Y (Y)\µm;27642.1;;;;;;;
Binding Energy (E);;;;Fitted envelope;Fitted Peak C sp2;Fitted Peak CO;Fitted Peak C sp3;Fitted Peak SiC;Backgnd.
eV;;Counts / s;;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s
291.180;;2332.79;;2355.82;2347.21;2355.82;2347.21;2347.21;2347.21
291.080;;2428.37;;2356.11;2347.12;2356.11;2347.12;2347.12;2347.12
290.980;;2449.00;;2356.40;2347.02;2356.40;2347.02;2347.02;2347.02
290.880;;2406.08;;2356.67;2346.89;2356.67;2346.89;2346.89;2346.89
290.780;;2395.89;;2356.96;2346.73;2356.96;2346.73;2346.73;2346.73
290.680;;2376.14;;2357.28;2346.59;2357.28;2346.59;2346.59;2346.59
290.580;;2394.65;;2357.66;2346.48;2357.66;2346.48;2346.48;2346.48
290.480;;2392.21;;2358.09;2346.37;2358.09;2346.37;2346.37;2346.37
290.380;;2368.59;;2358.59;2346.30;2358.59;2346.30;2346.30;2346.30
290.280;;2333.04;;2359.15;2346.24;2359.15;2346.24;2346.24;2346.24
290.180;;2333.70;;2359.75;2346.16;2359.75;2346.16;2346.16;2346.16
290.080;;2422.54;;2360.40;2346.08;2360.40;2346.08;2346.08;2346.08
289.980;;2423.08;;2361.12;2346.00;2361.12;2346.00;2346.00;2346.00
289.880;;2349.37;;2361.88;2345.89;2361.88;2345.89;2345.89;2345.89
289.780;;2420.03;;2362.69;2345.75;2362.69;2345.75;2345.75;2345.75
289.680;;2402.59;;2363.63;2345.63;2363.63;2345.63;2345.63;2345.63
289.580;;2368.25;;2364.71;2345.54;2364.71;2345.54;2345.54;2345.54
289.480;;2329.12;;2365.90;2345.43;2365.90;2345.43;2345.43;2345.43
289.380;;2429.40;;2367.26;2345.34;2367.26;2345.34;2345.34;2345.34
289.280;;2348.83;;2368.82;2345.28;2368.82;2345.28;2345.28;2345.28
289.180;;2344.14;;2370.59;2345.23;2370.59;2345.23;2345.23;2345.23
289.080;;2348.87;;2372.61;2345.18;2372.61;2345.18;2345.18;2345.18
288.980;;2295.74;;2374.92;2345.16;2374.92;2345.16;2345.16;2345.16
288.880;;2391.34;;2377.55;2345.13;2377.54;2345.13;2345.13;2345.13
288.780;;2353.02;;2380.52;2345.08;2380.52;2345.08;2345.08;2345.08
288.680;;2390.98;;2383.89;2345.00;2383.89;2345.00;2345.00;2345.00
288.580;;2431.26;;2387.69;2344.85;2387.69;2344.85;2344.85;2344.85
288.480;;2468.03;;2392.00;2344.64;2391.99;2344.65;2344.64;2344.64
288.380;;2519.59;;2396.93;2344.40;2396.91;2344.42;2344.40;2344.40
288.280;;2445.68;;2402.58;2344.14;2402.54;2344.18;2344.14;2344.14
288.180;;2427.67;;2409.10;2343.90;2409.01;2343.99;2343.90;2343.90
288.080;;2396.41;;2416.60;2343.66;2416.40;2343.86;2343.66;2343.66
287.980;;2447.58;;2425.26;2343.49;2424.88;2343.88;2343.49;2343.49
287.880;;2347.63;;2435.16;2343.33;2434.46;2344.04;2343.33;2343.33
287.780;;2439.82;;2446.46;2343.17;2445.23;2344.40;2343.17;2343.17
287.680;;2417.29;;2459.26;2342.98;2457.25;2345.00;2342.98;2342.98
287.580;;2445.07;;2473.65;2342.76;2470.54;2345.86;2342.76;2342.76
287.480;;2556.92;;2489.64;2342.44;2485.10;2346.98;2342.44;2342.44
287.380;;2557.49;;2507.32;2342.11;2501.01;2348.42;2342.11;2342.11
287.280;;2484.96;;2526.56;2341.71;2518.18;2350.09;2341.71;2341.71
287.180;;2598.00;;2547.29;2341.26;2536.58;2351.97;2341.26;2341.26
287.080;;2546.14;;2569.38;2340.79;2556.12;2354.04;2340.79;2340.79
286.980;;2594.15;;2592.66;2340.32;2576.66;2356.31;2340.32;2340.32
286.880;;2581.39;;2616.91;2339.77;2597.93;2358.75;2339.77;2339.77
286.780;;2655.75;;2642.07;2339.22;2619.74;2361.55;2339.23;2339.22
286.680;;2597.02;;2668.01;2338.63;2641.75;2364.86;2338.65;2338.63
286.580;;2662.85;;2694.74;2337.98;2663.61;2369.03;2338.06;2337.98
286.480;;2726.32;;2722.47;2337.25;2684.92;2374.55;2337.51;2337.25
286.380;;2755.02;;2751.72;2336.46;2705.30;2382.26;2337.09;2336.46
286.280;;2817.60;;2783.49;2335.61;2724.34;2393.48;2336.90;2335.61
286.180;;2759.60;;2819.38;2334.65;2741.59;2410.19;2336.91;2334.65
286.080;;2892.21;;2861.84;2333.60;2756.67;2435.34;2337.03;2333.60
285.980;;2966.69;;2914.32;2332.48;2769.23;2472.92;2337.11;2332.47
285.880;;2939.73;;2981.05;2331.23;2778.89;2527.60;2336.93;2331.20
285.780;;3155.19;;3066.36;2329.85;2785.33;2603.96;2336.39;2329.72
285.680;;3262.39;;3173.48;2328.68;2788.41;2705.09;2335.60;2328.10
285.580;;3249.05;;3302.63;2328.57;2787.96;2830.30;2334.60;2326.27
285.480;;3458.35;;3450.53;2332.43;2783.93;2973.36;2333.45;2324.21
285.380;;3483.87;;3612.45;2348.15;2776.34;3121.51;2332.17;2321.90
285.280;;3774.10;;3789.12;2394.37;2765.27;3256.60;2330.77;2319.30
285.180;;3977.06;;3998.09;2508.58;2750.76;3358.30;2329.13;2316.23
285.080;;4374.50;;4285.59;2753.98;2732.96;3409.16;2327.21;2312.58
284.980;;4873.98;;4727.20;3215.36;2712.04;3399.42;2324.92;2308.18
284.880;;5294.56;;5404.20;3972.53;2688.02;3329.68;2322.05;2302.70
284.780;;6421.37;;6351.53;5048.64;2660.98;3210.87;2318.45;2295.80
284.680;;7420.32;;7496.13;6351.73;2631.01;3060.88;2314.08;2287.19
284.580;;8558.93;;8628.77;7651.61;2598.41;2899.71;2309.25;2276.74
284.480;;9338.89;;9449.85;8630.23;2563.61;2744.77;2304.69;2264.48
284.380;;9675.11;;9688.30;9003.35;2527.53;2608.20;2302.18;2250.98
284.280;;9423.51;;9232.83;8652.04;2491.44;2496.08;2304.81;2237.18
284.180;;8119.13;;8193.18;7682.13;2456.57;2409.17;2317.30;2224.00
284.080;;6951.53;;6850.26;6371.71;2424.08;2344.94;2346.61;2212.36
283.980;;5494.92;;5528.30;5041.65;2394.77;2299.25;2401.23;2202.86
283.880;;4358.22;;4468.28;3930.90;2368.92;2267.57;2487.82;2195.64
