_;;;;;;;;;;;
Axis;Energy;Elements=;191;;;;;;;;
Axis;Position;Elements=;1;;;;;;;;
Axis;X;Elements=;1;;;;;;;;
Axis;Y;Elements=;1;;;;;;;;
;;;;;;;;;;;
C:\Mac\Home\Documents\Avantage\Old graphene\G-Si111-front side\Data Grid 3.DATA\C1s Scan.VGD;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;Position (Pos)\;Pt #002;;;;;;;;;
;X (X)\µm;52578.6;;;;;;;;;
;Y (Y)\µm;21352.2;;;;;;;;;
Binding Energy (E);;;;Fitted envelope;Fitted Peak sp2;Fitted Peak sp3;Fitted Peak C-O;Fitted Peak C=O;Fitted Peak SiC;Fitted Peak pi-pi;Backgnd.
eV;;Counts / s;;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s;Counts / s
292.680;;2972.14;;2965.09;2555.93;2555.93;2558.60;2585.85;2555.93;2932.50;2555.93
292.580;;2933.87;;2961.78;2554.66;2554.66;2558.00;2589.29;2554.66;2923.82;2554.66
292.480;;2885.40;;2957.13;2553.39;2553.39;2557.52;2593.40;2553.39;2912.99;2553.39
292.380;;2948.15;;2951.58;2552.13;2552.13;2557.18;2598.30;2552.13;2900.36;2552.13
292.280;;2922.13;;2945.56;2550.86;2550.86;2556.96;2604.05;2550.86;2886.27;2550.86
292.180;;2996.94;;2939.60;2549.62;2549.62;2556.92;2610.78;2549.62;2871.14;2549.62
292.080;;2863.87;;2934.14;2548.38;2548.38;2557.03;2618.58;2548.38;2855.29;2548.38
291.980;;2877.94;;2929.67;2547.19;2547.19;2557.33;2627.60;2547.19;2839.12;2547.19
291.880;;2849.30;;2926.50;2545.97;2545.97;2557.75;2637.89;2545.97;2822.81;2545.97
291.780;;2964.29;;2925.07;2544.82;2544.82;2558.36;2649.64;2544.82;2806.71;2544.82
291.680;;2878.24;;2925.57;2543.61;2543.61;2559.04;2662.87;2543.61;2790.88;2543.61
291.580;;2952.55;;2928.19;2542.28;2542.28;2559.72;2677.62;2542.28;2775.42;2542.28
291.480;;3083.12;;2933.14;2540.86;2540.86;2560.40;2694.03;2540.86;2760.43;2540.86
291.380;;3016.94;;2940.69;2539.43;2539.43;2561.17;2712.30;2539.43;2746.09;2539.43
291.280;;2962.74;;2950.87;2537.91;2537.91;2561.91;2732.45;2537.91;2732.34;2537.91
291.180;;3033.64;;2963.80;2536.34;2536.34;2562.66;2754.57;2536.34;2719.24;2536.34
291.080;;3054.29;;2979.69;2534.86;2534.86;2563.55;2778.91;2534.86;2706.94;2534.86
290.980;;2888.16;;2998.46;2533.38;2533.38;2564.48;2805.41;2533.38;2695.34;2533.38
290.880;;3009.32;;3020.10;2531.90;2531.90;2565.44;2834.07;2531.90;2684.39;2531.90
290.780;;2958.33;;3044.51;2530.36;2530.36;2566.36;2864.84;2530.36;2674.03;2530.36
290.680;;3133.33;;3071.61;2528.75;2528.75;2567.25;2897.66;2528.75;2664.20;2528.75
290.580;;3176.39;;3101.22;2527.01;2527.01;2568.04;2932.39;2527.01;2654.80;2527.01
290.480;;3118.98;;3133.29;2525.22;2525.22;2568.83;2969.00;2525.22;2645.89;2525.22
290.380;;3082.52;;3167.54;2523.29;2523.29;2569.53;3007.24;2523.29;2637.33;2523.29
290.280;;3198.97;;3203.86;2521.33;2521.33;2570.29;3047.02;2521.33;2629.21;2521.33
290.180;;3172.16;;3242.02;2519.35;2519.35;2571.12;3088.10;2519.35;2621.50;2519.35
290.080;;3203.38;;3281.59;2517.24;2517.24;2571.94;3130.09;2517.24;2614.04;2517.24
289.980;;3351.66;;3322.22;2514.97;2514.97;2572.75;3172.62;2514.97;2606.80;2514.97
289.880;;3353.24;;3363.58;2512.56;2512.56;2573.59;3215.36;2512.56;2599.75;2512.56
289.780;;3455.47;;3405.26;2509.99;2509.99;2574.50;3257.90;2509.99;2592.86;2509.99
289.680;;3421.75;;3446.86;2507.30;2507.30;2575.52;3299.81;2507.30;2586.12;2507.30
289.580;;3440.50;;3487.95;2504.44;2504.44;2576.69;3340.65;2504.44;2579.49;2504.44
289.480;;3619.09;;3528.06;2501.41;2501.41;2578.04;3379.92;2501.41;2572.93;2501.41
289.380;;3651.57;;3566.88;2498.32;2498.32;2579.73;3417.26;2498.32;2566.54;2498.32
289.280;;3558.74;;3603.94;2495.10;2495.11;2581.78;3452.13;2495.10;2560.22;2495.10
289.180;;3630.90;;3638.81;2491.74;2491.76;2584.24;3484.07;2491.74;2553.96;2491.74
289.080;;3685.87;;3671.22;2488.30;2488.33;2587.28;3512.70;2488.30;2547.79;2488.30
288.980;;3747.28;;3700.88;2484.79;2484.87;2591.04;3537.61;2484.79;2541.73;2484.79
288.880;;3752.59;;3727.49;2481.13;2481.29;2595.57;3558.35;2481.13;2535.66;2481.13
288.780;;3816.77;;3750.93;2477.34;2477.66;2601.07;3574.62;2477.34;2529.61;2477.34
288.680;;3840.39;;3771.26;2473.48;2474.08;2607.79;3586.21;2473.48;2523.62;2473.48
288.580;;3802.72;;3788.64;2469.63;2470.71;2616.09;3592.97;2469.63;2517.75;2469.63
288.480;;3721.93;;3803.27;2465.70;2467.57;2626.19;3594.68;2465.70;2511.93;2465.70
